 309: 関連字: 怪 U+602A,  異体字: 恠 U+6060, 𠬭 U+20B2D, 𢘪 U+2262A, 𢙨 U+22668, 𢙼 U+2267C, 𣲾 U+23CBE, 𪬮 U+2AB2E, 𰆷 U+301B7
 310: 関連字: 𡒶 U+214B6,  異体字: 𡏆 U+213C6
 311: 関連字: 𫮺 U+2BBBA,  異体字: 壑 U+58D1, 𡓛 U+214DB
 312: 関連字: 壥 U+58E5,  異体字: 㕓 U+3553, 廛 U+5EDB
 313: 関連字: 𫮾 U+2BBBE,  異体字: NONE
 314: 関連字: NONE,  異体字: NONE
 315: 関連字: 塰 U+5870,  異体字: 㙙 U+3659, 堻 U+583B
 316: 関連字: NONE,  異体字: NONE
 317: 関連字: 𪩣 U+2AA63,  異体字: NONE
 318: 関連字: 𫯜 U+2BBDC,  異体字: 希 U+5E0C, 带 U+5E26, 幕 U+5E55
 319: 関連字: 奀 U+5940,  異体字: 尖 U+5C16
 320: 関連字: NONE,  異体字: NONE
 321: 関連字: NONE,  異体字: NONE
 322: 関連字: 𬇜 U+2C1DC,  異体字: NONE
 323: 関連字: 𡘽 U+2163D,  異体字: 㷊 U+3DCA, 炃 U+7083, 焚 U+711A, 燌 U+71CC, 燓 U+71D3, 燔 U+71D4, 𤆶 U+241B6, 𰋧 U+302E7, 𰟛 U+307DB, 𱬗 U+31B17, 𱬤 U+31B24
 324: 関連字: 𫯸 U+2BBF8,  異体字: NONE
 325: 関連字: 𪥣 U+2A963,  異体字: 𩺊 U+29E8A
 326: 関連字: 𪚔 U+2A694,  異体字: 龑 U+9F91, 𬺛 U+2CE9B
 327: 関連字: 妛 U+599B,  異体字: 媸 U+5AB8, 𡚴 U+216B4
 328: 関連字: 妋 U+598B,  異体字: 妜 U+599C
 329: 関連字: NONE,  異体字: NONE
 330: 関連字: 𫰓 U+2BC13,  異体字: 𡝵 U+21775
 331: 関連字: 姉 U+59C9,  異体字: 㚴 U+36B4, 姊 U+59CA
 332: 関連字: 𪥮 U+2A96E,  異体字: 姑 U+59D1
 333: 関連字: 𡛳 U+216F3,  異体字: NONE
 334: 関連字: 𡛦 U+216E6,  異体字: NONE
 335: 関連字: 𫰚 U+2BC1A,  異体字: NONE
 336: 関連字: NONE,  異体字: NONE
 337: 関連字: 𡜆 U+21706,  異体字: 㜉 U+3709, 㜧 U+3727, 妑 U+5991, 𡡕 U+21855
 338: 関連字: NONE,  異体字: NONE
 339: 関連字: NONE,  異体字: NONE
 340: 関連字: NONE,  異体字: NONE
 341: 関連字: 𡝗 U+21757,  異体字: NONE
 342: 関連字: 𫰯 U+2BC2F,  異体字: NONE
 343: 関連字: 𰠯 U+3082F,  異体字: NONE
 344: 関連字: 婲 U+5A72,  異体字: 𠵅 U+20D45
 345: 関連字: 婇 U+5A47,  異体字: 媣 U+5AA3
 346: 関連字: NONE,  異体字: NONE
 347: 関連字: NONE,  異体字: NONE
 348: 関連字: NONE,  異体字: NONE
 349: 関連字: 娵 U+5A35,  異体字: 㜟 U+371F
 350: 関連字: 𪥽 U+2A97D,  異体字: NONE
 351: 関連字: 婡 U+5A61,  異体字: 唻 U+553B, 𫝫 U+2B76B
 352: 関連字: 媬 U+5AAC,  異体字: 㜃 U+3703
 353: 関連字: 㛺 U+36FA,  異体字: 婄 U+5A44
 354: 関連字: 𪦏 U+2A98F,  異体字: NONE
 355: 関連字: 嫏 U+5ACF,  異体字: 啷 U+5577
 356: 関連字: NONE,  異体字: NONE
 357: 関連字: 𫱉 U+2BC49,  異体字: NONE
 358: 関連字: 𪦔 U+2A994,  異体字: NONE
 359: 関連字: 𱙥 U+31665,  異体字: 㜻 U+373B
 360: 関連字: 𡠇 U+21807,  異体字: 婹 U+5A79
 361: 関連字: 𡡇 U+21847,  異体字: 𡣨 U+218E8
 362: 関連字: 𫱣 U+2BC63,  異体字: NONE
 363: 関連字: 𫱻 U+2BC7B,  異体字: NONE
 364: 関連字: 𡢬 U+218AC,  異体字: NONE
 365: 関連字: 𡢽 U+218BD,  異体字: NONE
 366: 関連字: 𪦨 U+2A9A8,  異体字: NONE
 367: 関連字: 𡢳 U+218B3,  異体字: 妗 U+5997
 368: 関連字: 嬑 U+5B11,  異体字: 噫 U+566B
 369: 関連字: 嬶 U+5B36,  異体字: 嚊 U+568A
 370: 関連字: 𡣙 U+218D9,  異体字: 𱙑 U+31651
 371: 関連字: NONE,  異体字: NONE
 372: 関連字: 𪦮 U+2A9AE,  異体字: NONE
 373: 関連字: NONE,  異体字: NONE
 374: 関連字: NONE,  異体字: NONE
 375: 関連字: 𭕌 U+2D54C,  異体字: NONE
 376: 関連字: 孞 U+5B5E,  異体字: 信 U+4FE1
 377: 関連字: NONE,  異体字: NONE
 378: 関連字: 𪦺 U+2A9BA,  異体字: 絈 U+7D48
 379: 関連字: NONE,  異体字: NONE
 380: 関連字: NONE,  異体字: NONE
 381: 関連字: NONE,  異体字: NONE
 382: 関連字: 𫲧 U+2BCA7,  異体字: NONE
